timestamp,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10
1731733069.5124843,54.6174990,-2558.8273950,-3795.6553192,-2119.1002429
1731733069.5284100,18.1114005,-2748.5085759,-3445.8671512,-2733.7490608
1731733069.5288882,321.4387913,-2769.7867367,-3398.2170859,-3478.5267626
1731733069.5423620,488.1588565,-2585.2170641,-3072.0080522,-3920.5034645
1731733069.5581260,647.3056242,-3038.7163977,-3406.9562971,-3862.3031413
1731733069.5587904,1041.9922262,-3037.2643816,-3791.4498017,-4076.4890818
1731733069.5724068,999.0591096,-3731.7638033,-4424.6027095,-4694.5991770
1731733069.5880356,1308.7555501,-3742.9274047,-4373.9064957,-5441.7479754
1731733069.5888052,1463.9230643,-3567.0249502,-4051.3401245,-5883.5937807
1731733069.6026993,1624.1450533,-4001.8603131,-4370.5508704,-5819.6115723
1731733069.6186149,2011.9053605,-4025.2711519,-4786.3305081,-6041.2249540
1731733069.6188772,1979.3130673,-4708.2685113,-4422.2147834,-6655.4904321
1731733069.6326172,2288.9515393,-4721.1992154,-4373.3473806,-7404.6512966
1731733069.6485584,2444.8109350,-4553.5114512,-4060.2990548,-7845.3209035
1731733069.6489699,2613.5355865,-4973.6658368,-4364.3875153,-7782.6177408
1731733069.6626563,2995.7701916,-5009.3603769,-4776.7357948,-8002.8978482
1731733069.6781938,2961.2593297,-5687.5332655,-4426.1753375,-8616.1329839
1731733069.6790111,3267.5543312,-5700.9651162,-4365.8451413,-9363.1546256
1731733069.6925609,3421.4801986,-5538.8498028,-4064.3362768,-9807.9773914
1731733069.7083380,3598.5523068,-5956.8743154,-4363.4226211,-9739.2492499
1731733069.7089837,3973.5202862,-5987.7481246,-4780.7580572,-9965.1784762
1731733069.7225020,3937.1974429,-6672.9950338,-4428.5632636,-10575.3375441
1731733069.7385895,4246.8078656,-6676.5011900,-4371.6831252,-11320.7697284
1731733069.7388508,4401.7154568,-6523.0680545,-4072.2742145,-11766.0356723
1731733069.7527015,4573.7162607,-6936.6121669,-4362.2258531,-11698.7343026
1731733069.7681632,4950.8589919,-6973.9354335,-4783.0281765,-11922.2064146
1731733069.7688663,4917.4831897,-7654.2905537,-4424.6307588,-12538.3455826
1731733069.7823639,5234.1863327,-7651.2518849,-4366.7988158,-13284.7594906
1731733069.7981720,5381.4794876,-7504.6627663,-4071.1129756,-13731.7139994
1731733069.7988589,5556.6760360,-7906.9703493,-4352.8817131,-13662.2229183
1731733069.8127396,5932.7753351,-7946.4272289,-4784.0641287,-13884.3224870
1731733069.8280511,5900.6636191,-8627.3695133,-5402.6482563,-14496.8732209
1731733069.8433814,6210.7209599,-8627.9735071,-5338.2640086,-15245.4712305
1731733069.8439724,6354.9436569,-8494.5955851,-5062.3584992,-15689.0280402
1731733069.8582268,6548.3815673,-8880.8776968,-5329.1638970,-15621.0908875
1731733069.8589032,6915.4246987,-8928.9008172,-5768.8770245,-15848.5067240
1731733069.8725879,6876.6690505,-9610.0057872,-6382.9564425,-16457.4129255
1731733069.8885105,7193.4993501,-9612.8088423,-6320.1167735,-17201.7119201
1731733069.8888719,7334.0195461,-9484.9996312,-6053.2880013,-17648.4626043
1731733069.9025147,7514.4893534,-9868.0448596,-6311.6337454,-17582.4515001
1731733069.9182076,7890.4371866,-9917.0852327,-6748.3456032,-17803.9751242
1731733069.9189601,7861.6203225,-10590.6935733,-7364.5081455,-18417.5655503
1731733069.9325695,8167.7320688,-10591.4172440,-7299.9668220,-19165.1182579
1731733069.9482937,8313.3048697,-10464.2643854,-7037.2145408,-19614.7056562
1731733069.9489045,8504.2052580,-10838.8275206,-6794.2369806,-19543.7017856
1731733069.9624529,8872.2207634,-10890.7663162,-6746.0231253,-19765.7209465
1731733069.9781413,8844.7483933,-11570.2276003,-7364.9157946,-20379.7601606
1731733069.9788451,9157.8668422,-11571.6487622,-7292.9545096,-21125.5569851
1731733069.9926713,9294.3161571,-11453.8662230,-7044.8570263,-21575.3594277
1731733070.0081160,9489.3809240,-11820.9738677,-6788.4737947,-21499.0916479
1731733070.0088708,9850.1615929,-11874.7807433,-6746.6009398,-21726.9300931
1731733070.0224173,9821.2400116,-12556.6598727,-6384.2130489,-22335.8755635
1731733070.0379820,10136.2714194,-12552.5572024,-6318.0916177,-23085.1710644
1731733070.0386524,10266.6452668,-12450.9590802,-6083.2558197,-23541.1667813
1731733070.0523205,10467.7855012,-12802.2637776,-5814.4187212,-23464.3324066
1731733070.0680771,10841.4912644,-12834.9888372,-5751.3705528,-23687.5408557
1731733070.0687487,10808.7288058,-13526.5159735,-5400.1986218,-24301.3762453
1731733070.0823257,11124.3735571,-13528.2765314,-5332.7476562,-25047.8817809
1731733070.0979879,11248.1782703,-13424.2811333,-5098.5869101,-25501.2072092
1731733070.0986626,11444.8811134,-13780.3168042,-4829.2355754,-25424.3485252
1731733070.1123583,11817.5789735,-13819.1210712,-4770.6210584,-25648.3610527
1731733070.1280899,11780.1098508,-14512.1329477,-4423.5929365,-26260.7565808
1731733070.1287909,12094.3297003,-14507.2009547,-4354.0868959,-27006.4393384
1731733070.1424766,12226.1658486,-14416.9702584,-4123.5968616,-27464.6341165
1731733070.1580653,12432.4783646,-14766.3507773,-3843.8916139,-27381.2549169
1731733070.1587822,12799.1998646,-14802.0322278,-3793.2243842,-27606.6904764
1731733070.1724412,12762.6432775,-14536.0196888,-3450.4055198,-28221.4271818
1731733070.1881721,13079.0696679,-14503.4030863,-3361.1303680,-28966.8013977
1731733070.1887839,13205.6082480,-14416.8374919,-3149.1547084,-29422.3875955
1731733070.2023344,13408.5324146,-14773.3873990,-2866.6819347,-29345.2521589
1731733070.2181191,13780.3065195,-14771.9241632,-2797.8331815,-29564.7487573
1731733070.2188537,13739.8623064,-14541.1134325,-2463.2981955,-30183.3618690
1731733070.2324741,14062.3959534,-14487.4449332,-2378.6044211,-30926.4528760
1731733070.2482100,14187.4647528,-14416.3737443,-2171.9095003,-31382.7945336
1731733070.2489216,14395.6359991,-14766.9903002,-1874.1424057,-31302.9121405
1731733070.2629211,14762.0283879,-14775.3443017,-1830.3565920,-31532.2353260
1731733070.2781856,14721.1540863,-14556.0599427,-1493.2392051,-32139.6530472
1731733070.2787929,15043.3567522,-14490.3583152,-1392.8565503,-32885.9631730
1731733070.2924831,15164.1396262,-14429.3661568,-1204.4740497,-33344.4356386
1731733070.3080697,15372.1089179,-14292.6466341,-902.2284249,-33263.7753463
1731733070.3088019,15742.0710412,-13788.2519369,-850.0764550,-33493.1602402
1731733070.3223495,15694.8071206,-13614.3456540,-528.4927425,-34108.9497275
1731733070.3379653,16022.9936264,-13508.7168546,-409.7172598,-34846.7141819
1731733070.3386431,16135.3224566,-13465.2068586,-241.4311116,-35309.0069553
1731733070.3523791,16358.3841145,-13319.8219877,74.7419006,-35224.6740813
1731733070.3682747,16731.5812513,-13759.6791013,147.2501460,-35450.0834614
1731733070.3687744,16676.0951606,-13614.3138649,453.3805918,-36069.9157806
1731733070.3824785,17013.8146714,-13486.6103060,579.4451395,-36810.1074301
1731733070.3980772,17113.8560603,-13446.3783322,747.0113570,-37268.7612808
1731733070.3988185,17330.7618429,-13300.9261432,1068.3716105,-37184.5780028
1731733070.4123187,17704.9762325,-12769.0282217,1118.6536304,-37411.1635815
1731733070.4280963,17659.0568059,-12629.7889414,1431.6131336,-38032.5404793
1731733070.4289060,17990.5905221,-12496.0865830,1560.7649687,-38768.9080811
1731733070.4424293,18097.8555278,-12467.8335088,1725.5430908,-39229.3944829
1731733070.4581432,18316.3283285,-12319.6324933,2049.5642831,-39145.7422706
1731733070.4588027,18685.8996323,-11782.3977346,2106.0526670,-39369.4668259
1731733070.4732521,852.5457239,2015.8098160,2569.2046824,342.5280872
