Unnamed: 0,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10,timestamp
155,-1440.6655614310876,164.84731024689972,87.4837397634983,1719.355426329188,1731709443.9226336
156,-1638.334233689122,-33.92463249806315,-74.23701412044466,1593.0777043253183,1731709443.936292
157,-1809.774987557903,-175.70423981826752,-198.48023054841903,1475.551348217763,1731709443.936292
158,-1640.129385667853,17.72338589001447,-46.468256949447095,1608.530970942229,1731709443.951995
159,-1709.732663743198,-14.8960215235129,-75.56467860471457,1597.0756573779508,1731709443.951995
160,-1991.4032289059835,-279.5687413876876,-305.67698297835886,1373.156627330929,1731709443.952633
161,-1877.7214899528767,-124.92761811986566,-181.0822159545496,1444.656034683809,1731709443.952633
162,-1769.3616286367178,-9.069257392548025,-104.24597136490048,1483.4574967240917,1731709443.9662716
163,-2050.85267860163,-277.5491954116151,-328.2996378103271,1270.533772546798,1731709443.9662716
164,-2092.7320783054456,-271.471857983619,-326.3137509338558,1312.805861745961,1731709443.9820368
165,-1861.531463044696,-31.83402842283249,-120.33876087423414,1501.046246215701,1731709443.9820368
166,-2023.7384039228784,-192.77688311599195,-254.85548248048872,1382.626054018736,1731709443.9827733
167,-2190.8932324424386,-330.98488597851247,-367.56484744511545,1287.1015293505045,1731709443.9827733
168,-1939.6205741195008,-77.62536348029971,-149.7755134254694,1434.438628004864,1731709443.996354
169,-1974.050093111582,-82.5208925222978,-151.90351650025696,1276.1361426804217,1731709443.996354
152,-1316.3550268039107,250.8537895279005,186.84914168622345,1940.6228673076257,1731709443.9219975
151,-1438.6011366555467,154.82437836565077,112.59342806600034,1870.4660840388387,1731709443.9062333
150,-1560.929524306208,9.372189288958907,3.23127356171608,1810.0180810550228,1731709443.9062333
149,-1295.837935646996,280.45135777723044,231.0397995626554,2022.377080339007,1731709443.892611
130,-1101.419236450456,221.8508653715253,241.0776910437271,2226.325044622645,1731709443.8026495
131,-1014.2683477830142,365.8295338656753,367.7817616425455,2318.143328434788,1731709443.8026495
132,-892.4859855258837,518.1780984606594,486.6507418341935,2434.087706861086,1731709443.8162968
133,-1142.752610760741,270.0918348999694,275.4249322367832,2238.561997277662,1731709443.8162968
135,-907.0678554531188,545.0941584417596,501.0418768636882,2395.892108613625,1731709443.8320005
136,-1116.446154472418,349.66194635722786,333.03435115423054,2219.739080800675,1731709443.8326046
137,-1276.0538648813963,207.82998043764383,217.86413201875985,2076.089523502625,1731709443.8326046
138,-1038.2859852984548,457.240168582648,423.1472405865789,2267.8902927301824,1731709443.846281
128,-800.0880172206089,464.9630619911477,447.965216692537,2408.3235360663384,1731709443.8020191
139,-1028.47622771468,448.16343139018863,412.3725888142362,2263.454771382734,1731709443.846281
141,-1223.7925029005855,292.7406690316275,269.699145404622,2053.4294696711004,1731709443.8620272
142,-1124.348563078791,414.2799377916381,364.12413948588073,2119.199350291863,1731709443.862598
143,-1391.549455313012,160.10511710308492,136.76066157966852,1939.8300085170197,1731709443.862598
144,-1421.7229681555182,147.64751035068184,118.86524029169232,1936.9502855511384,1731709443.8762991
145,-1165.5660004904494,398.8079716749489,337.4287336021662,2115.410831636749,1731709443.8762991
146,-1332.8592053083703,218.44381651189175,190.66757954098284,2012.52618385572,1731709443.892014
147,-1500.3319253241643,63.46984214801341,54.66985755227506,1888.9972883192825,1731709443.892014
148,-1283.690740590915,302.3260326180607,255.91013426799327,2046.8210664493963,1731709443.892611
140,-1319.8667928623036,161.3018850889057,162.77540567144752,2023.3157952278848,1731709443.8620272
85,-2508.663181927521,-646.0602375455201,-647.3243237305433,2236.843513248022,1731709443.5762663
134,-1127.4526800420135,307.05326616205275,307.4197763577104,2236.4863528022543,1731709443.8320005
83,-2171.079242477193,-1133.391641171649,-1174.3360658865422,1726.2574116974138,1731709443.5626736
23,-91.61632921453564,-179.88544796872884,-141.28220062609762,1995.42362135835,1731709443.2629683
24,-131.79033453855664,-167.44280081614852,-152.5879181921482,1923.56892350968,1731709443.2764952
25,138.56329335831106,123.85426683258264,87.39398216456175,2149.253186335787,1731709443.2764952
26,1.970927276648581,-31.83776832278818,-44.75538276974112,2125.0410740226507,1731709443.2920911
27,-150.61699091549963,-236.79550559446216,-161.6683952845633,1745.9760342137888,1731709443.2920911
28,-23.88674101699144,-98.3107501352206,-8.47835319954902,1591.1366962483153,1731709443.2929308
29,-86.14111567940563,-125.23428991623224,-58.46959590725601,1296.413880240172,1731709443.2929308
30,-305.04493988584727,-389.0281332908198,-273.3492877613753,1063.1189210042355,1731709443.3065383
31,-152.69637529086322,-222.2136356672272,-93.89018838759512,1123.2527723917738,1731709443.3065383
32,8.231519802473485,-96.73625225387514,-71.58542505186051,994.009309723042,1731709443.3221228
33,-319.72030731197447,-436.8165749246255,-423.9363594772294,919.9892098000272,1731709443.3221228
34,-432.66902587376535,-440.234843484126,-360.2159440321848,963.3683093860744,1731709443.3228033
