,ch1 - AF7,ch2 - AF8,ch3 - TP9,ch4 - TP10,timestamp
247,1838.9742564619519,-2357.4178878194652,-2089.1847831974737,-1706.9501781761646,1731806990.158237
248,1401.6004364439286,-1882.583359895274,-1698.2885698787868,-1678.9514171578921,1731806990.158237
249,1840.6478616921231,-2178.1850523930043,-1799.7931945761666,-1196.2593594267964,1731806990.1719663
250,1595.6937643443234,-2535.541842909064,-2229.636726033408,-986.1704794159159,1731806990.1719663
251,1648.9387200134806,-2642.749815038871,-2444.2508849906735,-1334.4636223893613,1731806990.187586
252,1975.4226363953203,-2170.0058911899105,-2854.607667728793,-1176.0470701162703,1731806990.187586
253,2056.5784654337913,-2014.1455605365336,-2678.2975641177036,-752.8474709303118,1731806990.1885424
254,1788.9530945545994,-2467.1689919191413,-2294.5763488640077,-1013.4680091924965,1731806990.1885424
255,2240.338449756615,-2850.3666211790405,-2533.290423135739,-702.0932886316441,1731806990.2018883
256,2680.002958497498,-2365.9878685679287,-2131.0884922510013,-465.4903878849,1731806990.2018883
257,2729.683789508883,-2453.4547787816264,-2241.144398197066,-892.4841155759059,1731806990.217862
258,2395.542427967768,-2763.7206190056168,-2510.757525902707,-560.5474250586703,1731806990.217862
259,2629.0187723515555,-2450.0869988715276,-2222.850677563809,-627.7160282628611,1731806990.2183928
260,2447.2278453554027,-2666.3448438593186,-2423.0119931423105,-206.78280845005065,1731806990.2183928
261,2705.1126468,-2473.418364745099,-2195.1772878416814,-126.27398210391402,1731806990.232068
262,2809.065036018379,-2389.03313209489,-2225.141366286669,-533.8968979744241,1731806990.232068
263,2992.204196948558,-2088.7303853528574,-1801.4630599063821,-856.5586366015486,1731806990.248054
264,2840.1978331995197,-2411.3958638799377,-2202.7599350018427,-926.5078554227948,1731806990.248054
265,3071.501295709051,-2175.525983524509,-2019.3309318250977,-1160.3338804524392,1731806990.2482488
266,2638.772431435995,-2465.353270490654,-2261.695148453582,-1589.6893549654633,1731806990.2482488
267,2920.734708795324,-2205.205829572864,-1860.4936408069916,-1513.5449918676168,1731806990.262142
268,3334.242357246112,-1964.6835136725567,-1821.2003819225356,-1807.8751183804125,1731806990.262142
269,3639.4537226799875,-1498.6639299439266,-2266.0203427523375,-1646.7658381392248,1731806990.2776248
270,3564.69873241568,-1550.7065077773295,-2225.1357564367354,-1980.9277691300958,1731806990.2776248
271,3542.2443730817176,-1813.0978886685334,-2673.639518722892,-1571.8219829271547,1731806990.2782345
272,3804.6862426223233,-1387.7235376583412,-3162.6538773290813,-1487.0515405815095,1731806990.2782345
273,4180.164718373679,-1800.9731330121867,-3337.4212722084485,-1441.3387434231117,1731806990.291796
274,3738.4844035566784,-1613.922036728356,-3464.147782207001,-1189.1311101112515,1731806990.291796
275,4079.299616568722,-1173.5357272960246,-3919.963048906531,-1095.919713565614,1731806990.3075075
276,3791.9331837734208,-1250.813280080445,-3853.1796553977765,-1231.951094653923,1731806990.3075075
277,3683.563972707372,-1570.3896012441255,-4342.865326046012,-1034.170225397218,1731806990.3082156
278,3303.571437709499,-1964.9527864693664,-4744.6614777855575,-825.7736501162872,1731806990.3082156
279,3771.584388114512,-2256.956695209723,-4846.401716180146,-337.9205304463394,1731806990.3221247
280,3460.3330842521973,-2659.3157018925995,-4384.901801547967,-208.04876458505169,1731806990.3221247
281,3508.8994250767864,-2770.461788675748,-4592.896337583661,-552.9124192991294,1731806990.3375485
282,3953.76987455599,-3139.571214802563,-4766.667049124837,-166.09643683210015,1731806990.3375485
283,4036.313206478022,-3012.4146163091063,-4686.397576375864,177.37223519850522,1731806990.338274
284,3724.9048268175684,-2568.1967793721706,-4424.608319377527,-195.52757953340188,1731806990.338274
285,4203.756007294171,-2911.2391028078273,-4590.525241011754,180.45017286203802,1731806990.3517432
286,4638.229534896556,-2421.8040054566227,-4191.479785689618,402.64323907950893,1731806990.3517432
287,4672.782470587175,-2515.8082607928663,-4298.349296873435,-12.8951750472188,1731806990.3675597
288,4404.250173968729,-2769.882104182616,-4476.331135764718,410.5381678859703,1731806990.3675597
289,4615.956560710445,-2472.139318960253,-4231.309720217716,310.37616727268323,1731806990.368292
290,4406.969081236515,-2679.690676851198,-4406.338908093981,749.7882327665575,1731806990.368292
291,4675.052589860279,-2485.1597806559876,-4177.0905206101015,831.7556200954132,1731806990.3818178
292,4790.015244548209,-2333.478788203094,-4120.17859303439,504.7462477697991,1731806990.3818178
293,4936.114436317235,-2062.11538731819,-3783.2659656261094,96.27250465936959,1731806990.3974378
